nome,Country,Year,goal
Guillermo Stabile,Argentina,1930,8
Oldrich Nejedly,Czechoslovakia,1934,7
Leonidas,Brazil,1938,7
Ademir,Brazil,1950,9
Sandor Kocsis,Hungary,1954,11
Just Fontaine,France,1958,13
Garrincha,Brazil,1962,10
Gerd Muller,Germany FR,1970,10
Grzegorz Lato,Poland,1974,7
Mario Kempes,Argentina,1978,6
Paolo Rossi,Italy,1982,6
Gary Lineker,England,1986,6
Salvatore Schillaci,Italy,1990,6
Davor Suker,Croatia,1998,6
Miroslav Klose,Germany,2006,5
Thomas Muller,Germany,2010,5
James Rodriguez,Colombia,2014,6
